epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,50.5906,2.41325,0.85139,0.97573,0.57362,9.75421e-05,9.75421e-05,9.75421e-05
2,102.692,0.52536,0.91297,0.98757,0.31708,0.00019167,0.00019167,0.00019167
3,159.559,0.37509,0.90112,0.98934,0.36596,0.000281918,0.000281918,0.000281918
4,216.484,0.33454,0.92185,0.99349,0.27162,0.000276536,0.000276536,0.000276536
5,268.953,0.26238,0.92954,0.99408,0.26003,0.000270715,0.000270715,0.000270715
6,325.364,0.20335,0.93665,0.99467,0.23481,0.000264894,0.000264894,0.000264894
7,383.642,0.17648,0.94967,0.99408,0.19898,0.000259073,0.000259073,0.000259073
8,444.524,0.17123,0.9402,0.99467,0.23283,0.000253252,0.000253252,0.000253252
9,502.676,0.16347,0.94079,0.99645,0.21823,0.00024743,0.00024743,0.00024743
10,558.438,0.1321,0.9479,0.99526,0.19642,0.000241609,0.000241609,0.000241609
11,618.084,0.12425,0.94375,0.99645,0.20817,0.000235788,0.000235788,0.000235788
12,675.744,0.11157,0.95086,0.99645,0.19425,0.000229967,0.000229967,0.000229967
13,732.548,0.10546,0.94908,0.99586,0.20802,0.000224146,0.000224146,0.000224146
14,789.075,0.08818,0.94671,0.99526,0.22022,0.000218324,0.000218324,0.000218324
15,849.481,0.09125,0.9479,0.99586,0.2215,0.000212503,0.000212503,0.000212503
16,912.182,0.07679,0.9479,0.99763,0.19446,0.000206682,0.000206682,0.000206682
17,966.661,0.08053,0.95619,0.99645,0.18796,0.000200861,0.000200861,0.000200861
18,1025.51,0.06986,0.95678,0.99467,0.19889,0.00019504,0.00019504,0.00019504
19,1086.78,0.07001,0.95382,0.99586,0.20378,0.000189218,0.000189218,0.000189218
20,1142.45,0.07335,0.95323,0.99704,0.18441,0.000183397,0.000183397,0.000183397
21,1201.49,0.07444,0.94731,0.99526,0.22007,0.000177576,0.000177576,0.000177576
22,1260.85,0.07169,0.95323,0.9923,0.20341,0.000171755,0.000171755,0.000171755
23,1316.57,0.05251,0.95737,0.99645,0.2037,0.000165934,0.000165934,0.000165934
24,1377.28,0.05505,0.95441,0.99526,0.20377,0.000160112,0.000160112,0.000160112
25,1439.13,0.04824,0.96152,0.99586,0.17614,0.000154291,0.000154291,0.000154291
26,1523.88,0.0449,0.95915,0.99645,0.19961,0.00014847,0.00014847,0.00014847
27,1579.87,0.04401,0.95619,0.99526,0.19632,0.000142649,0.000142649,0.000142649
28,1635.09,0.04593,0.96033,0.99467,0.19116,0.000136828,0.000136828,0.000136828
29,1689.82,0.03756,0.9556,0.99467,0.19538,0.000131006,0.000131006,0.000131006
30,1744.31,0.03601,0.96033,0.99467,0.18545,0.000125185,0.000125185,0.000125185
31,1798.04,0.03094,0.95619,0.99704,0.21146,0.000119364,0.000119364,0.000119364
32,1856.48,0.03775,0.95796,0.99645,0.21364,0.000113543,0.000113543,0.000113543
33,1912.56,0.03447,0.9556,0.99467,0.19673,0.000107722,0.000107722,0.000107722
34,1966.81,0.03273,0.95796,0.99467,0.18712,0.0001019,0.0001019,0.0001019
35,2025.76,0.02579,0.9627,0.99408,0.19682,9.60792e-05,9.60792e-05,9.60792e-05
36,2083.14,0.02097,0.96388,0.99408,0.18993,9.0258e-05,9.0258e-05,9.0258e-05
37,2136.98,0.03106,0.96329,0.99408,0.19345,8.44368e-05,8.44368e-05,8.44368e-05
38,2192.51,0.02048,0.96211,0.99467,0.197,7.86156e-05,7.86156e-05,7.86156e-05
39,2246.67,0.02014,0.96388,0.99526,0.18228,7.27944e-05,7.27944e-05,7.27944e-05
40,2308.29,0.02498,0.96566,0.99526,0.17975,6.69732e-05,6.69732e-05,6.69732e-05
41,2404.24,0.02079,0.96448,0.99467,0.19552,6.1152e-05,6.1152e-05,6.1152e-05
42,2460.88,0.01916,0.96803,0.99586,0.18583,5.53308e-05,5.53308e-05,5.53308e-05
43,2521.21,0.018,0.96448,0.99645,0.17883,4.95096e-05,4.95096e-05,4.95096e-05
44,2574.35,0.01199,0.96862,0.99704,0.1808,4.36884e-05,4.36884e-05,4.36884e-05
45,2633.84,0.01848,0.96862,0.99586,0.18486,3.78672e-05,3.78672e-05,3.78672e-05
46,2692.52,0.01202,0.9698,0.99586,0.17961,3.2046e-05,3.2046e-05,3.2046e-05
47,2748.94,0.01372,0.96921,0.99526,0.17717,2.62248e-05,2.62248e-05,2.62248e-05
48,2807.03,0.01672,0.96921,0.99586,0.17436,2.04036e-05,2.04036e-05,2.04036e-05
49,2865.97,0.00978,0.96862,0.99526,0.17246,1.45824e-05,1.45824e-05,1.45824e-05
50,2924.71,0.01279,0.96803,0.99526,0.18055,8.7612e-06,8.7612e-06,8.7612e-06
